"antiguedad" "horasextra" "sexo" "cursos" "incapacidad" "aptitudes" "escolaridad" "salario" "edad" "turno" "departamento"
"34" 3 22 1 4 4 78.89 1 23150 37 "vespertino" "produccion"
"35" 16 93 1 3 5 83.88 1 35000 37 "vespertino" "produccion"
"36" 2 3 2 2 5 78.42 0 22025 25 "vespertino" "produccion"
"37" 12 142 1 4 9 98.67 1 26500 32 "nocturno" "finanzas"
"38" 16 11 2 3 0 86.52 1 36475 53 "matutino" "compras"
"39" 9 124 2 1 5 87.65 2 27200 27 "nocturno" "ventas"
"40" 15 55 2 3 5 81.4 1 33975 37 "vespertino" "logistica"
"41" 3 6 2 9 3 107.87 2 19000 23 "vespertino" "ventas"
"42" 17 12 1 1 6 106.6 1 28650 35 "nocturno" "compras"
"43" 17 112 1 3 0 117.57 1 38500 41 "matutino" "finanzas"
"44" 23 71 2 3 7 96.15 2 40400 63 "vespertino" "compras"
"45" 6 28 2 1 3 107.97 1 38900 54 "vespertino" "finanzas"
"46" 1 20 2 5 4 104.72 2 27050 31 "nocturno" "produccion"
"47" 7 43 1 3 3 85.54 0 26275 33 "vespertino" "compras"
"48" 4 113 1 2 4 123.67 1 30000 40 "vespertino" "compras"
"49" 22 77 2 5 4 80.55 0 40900 63 "matutino" "finanzas"
"50" 18 152 2 3 5 91.02 1 37000 54 "vespertino" "compras"
"51" 22 0 1 1 4 105.08 1 42250 62 "vespertino" "compras"
"52" 25 112 2 3 7 116.61 1 47300 63 "matutino" "produccion"
"53" 15 103 1 2 1 120.9 1 30500 39 "nocturno" "logistica"
"54" 24 215 1 0 7 95.35 0 26180 41 "nocturno" "finanzas"
"55" 15 50 1 3 6 95.94 0 27940 39 "matutino" "compras"
"56" 2 169 2 1 9 118.4 1 15625 26 "vespertino" "compras"
"57" 17 92 2 1 3 82.45 0 23650 42 "vespertino" "compras"
"58" 7 132 2 1 7 99.18 1 41910 41 "nocturno" "compras"
"59" 8 48 1 1 7 107.17 1 38950 56 "nocturno" "produccion"
"60" 11 200 2 4 9 97.1 0 43650 70 "matutino" "logistica"
"61" 10 149 2 4 4 92.41 0 31450 39 "vespertino" "ventas"
"62" 10 79 1 0 5 101.16 1 24650 40 "vespertino" "produccion"
"63" 8 48 1 1 8 93.92 0 26250 37 "matutino" "finanzas"
"64" 15 202 1 1 8 103.45 1 37225 57 "matutino" "compras"
"65" 8 74 1 1 3 103.89 1 23100 29 "matutino" "finanzas"
"66" 23 74 2 5 4 110.25 1 40370 65 "vespertino" "finanzas"
"67" 24 138 2 5 4 103.6 1 42450 63 "vespertino" "produccion"
"68" 22 66 1 3 3 109.1 2 38300 65 "vespertino" "produccion"
"69" 6 68 1 2 5 87.58 1 39500 57 "nocturno" "compras"
"70" 3 184 1 1 7 96.21 0 31400 29 "vespertino" "compras"
"71" 16 123 2 1 4 101.75 1 32670 39 "matutino" "produccion"
"72" 4 105 2 3 7 110.08 2 33110 47 "matutino" "compras"
"73" 12 0 2 6 8 104.85 1 35850 61 "vespertino" "finanzas"
"74" 23 52 1 3 4 93.91 0 47100 61 "matutino" "produccion"
"75" 13 121 2 4 8 103.45 1 41600 46 "vespertino" "produccion"
"76" 11 90 2 5 2 101.69 2 40700 42 "vespertino" "ventas"
"77" 4 31 2 0 3 110.25 1 28750 29 "nocturno" "finanzas"
"78" 3 52 2 3 1 103.51 1 35200 35 "vespertino" "compras"
"79" 9 79 2 3 4 109.97 1 38500 45 "nocturno" "ventas"
"80" 12 136 2 5 4 113.17 2 41800 42 "vespertino" "logistica"
"81" 3 169 2 2 3 118.46 1 23600 28 "vespertino" "ventas"
"82" 16 70 2 2 8 126.34 1 42000 46 "vespertino" "ventas"
"83" 23 26 2 2 7 108.45 1 43175 54 "vespertino" "ventas"
"84" 2 187 2 3 4 121.46 2 25150 29 "vespertino" "produccion"
"85" 18 198 2 2 5 106.49 1 37300 42 "matutino" "ventas"
"86" 3 171 2 2 9 102.15 2 25100 27 "matutino" "produccion"
"87" 7 132 2 5 7 126.34 1 28215 31 "vespertino" "finanzas"
"88" 25 211 2 2 9 106.38 1 47025 65 "vespertino" "logistica"
"89" 2 112 1 2 1 102.35 2 40500 44 "matutino" "produccion"
"90" 17 118 2 1 3 98.12 0 40425 45 "vespertino" "ventas"
"91" 22 204 2 3 2 96.82 0 42850 51 "matutino" "ventas"
"92" 6 24 2 0 3 100.03 1 27500 20 "vespertino" "finanzas"
"93" 27 11 1 3 2 112.69 1 45100 65 "vespertino" "compras"
"94" 14 193 1 3 4 121.96 1 42450 57 "matutino" "produccion"
"95" 12 100 1 3 8 93.77 0 41900 49 "vespertino" "ventas"
"96" 24 74 2 0 6 99.7 1 45375 68 "vespertino" "produccion"
"97" 14 61 1 1 3 93.21 0 34550 39 "nocturno" "produccion"
"98" 14 96 2 2 1 117.27 1 36100 38 "vespertino" "compras"
"99" 11 138 2 3 7 103.46 1 27950 34 "vespertino" "compras"
"100" 4 15 2 2 1 106.38 1 24525 28 "matutino" "logistica"
"101" 3 13 2 0 7 102.35 1 27175 26 "vespertino" "ventas"
"102" 12 149 2 2 3 98.12 0 32775 38 "vespertino" "finanzas"
"103" 12 158 2 2 5 122.27 1 35875 46 "nocturno" "finanzas"
"104" 19 209 1 3 5 123.64 1 41800 52 "vespertino" "produccion"
"105" 12 180 2 0 4 134.53 1 41575 55 "vespertino" "ventas"
"106" 4 200 1 2 3 100.87 2 32350 31 "vespertino" "logistica"
"107" 5 182 2 1 7 124.09 1 34900 35 "matutino" "compras"
"108" 23 59 2 4 5 109.13 1 47950 66 "vespertino" "logistica"
"109" 9 28 1 3 8 102.32 1 23600 31 "matutino" "compras"
"110" 24 112 2 1 4 119.55 1 34875 47 "vespertino" "compras"
"111" 21 169 1 1 4 113.04 1 32000 49 "vespertino" "logistica"
"112" 19 121 2 2 0 103.75 2 35000 46 "matutino" "finanzas"
"113" 14 28 1 2 8 103.89 1 33000 41 "vespertino" "logistica"
"114" 3 111 1 3 7 110.25 1 30600 38 "nocturno" "compras"
"115" 3 132 2 4 1 93.18 1 27600 25 "vespertino" "logistica"
"116" 8 24 2 0 9 109.11 2 29900 36 "matutino" "logistica"
"117" 15 160 1 4 7 87.58 2 37200 41 "nocturno" "produccion"
"118" 18 44 1 5 5 96.2 1 36200 51 "vespertino" "ventas"
"119" 7 79 2 2 8 89.71 1 32000 34 "vespertino" "compras"
"120" 11 187 2 4 0 108.64 1 35200 49 "vespertino" "produccion"
"121" 5 107 1 0 9 113.15 2 24650 28 "vespertino" "ventas"
"122" 18 182 1 5 8 104.37 1 36100 46 "matutino" "logistica"
"123" 12 48 1 4 3 111.36 1 28150 35 "matutino" "finanzas"
"124" 2 217 1 2 0 123.07 1 34550 31 "matutino" "finanzas"
"125" 26 167 1 2 9 99.7 2 45375 67 "vespertino" "ventas"
"126" 26 33 1 3 2 93.21 0 41600 63 "matutino" "compras"
"127" 11 22 2 1 6 106.27 2 39500 47 "vespertino" "compras"
"128" 11 44 2 3 4 102.83 1 37600 44 "vespertino" "logistica"
"129" 0 81 2 3 7 104.18 1 33900 31 "vespertino" "ventas"
"130" 7 123 1 0 2 107.48 2 34325 31 "vespertino" "logistica"
"131" 19 13 1 5 3 119.13 2 38300 40 "matutino" "logistica"
"132" 5 189 2 4 0 92.42 0 39500 44 "vespertino" "compras"
"133" 26 59 2 0 6 101.15 1 26500 58 "vespertino" "produccion"
"134" 1 147 2 2 5 93.91 0 26500 28 "matutino" "ventas"
"135" 8 50 2 3 8 78.26 0 29000 35 "vespertino" "finanzas"
"136" 3 70 2 1 2 97.98 0 27500 28 "vespertino" "logistica"
"137" 3 198 1 1 9 100.03 1 25100 25 "matutino" "finanzas"
"138" 14 193 1 1 3 120.54 1 32000 38 "vespertino" "finanzas"
"139" 11 77 1 0 3 120.93 1 37750 45 "vespertino" "compras"
"140" 22 125 2 4 5 125.95 2 44000 56 "matutino" "compras"
"141" 12 160 1 1 5 100.73 1 37750 44 "vespertino" "compras"
"142" 17 28 2 0 3 105.08 2 37675 42 "matutino" "ventas"
"143" 20 39 2 5 2 123.37 1 43945 62 "matutino" "finanzas"
"144" 11 154 1 0 1 119.53 3 43800 44 "vespertino" "finanzas"
"145" 14 129 1 1 9 116.61 1 38170 40 "nocturno" "compras"
"146" 22 204 2 2 7 119.69 1 40500 49 "matutino" "finanzas"
"147" 2 90 1 5 6 103.46 1 23325 25 "matutino" "logistica"
"148" 14 37 2 4 3 106.38 2 31325 32 "vespertino" "produccion"
"149" 5 173 2 2 4 110.17 1 34325 35 "matutino" "compras"
"150" 19 6 1 2 4 105.01 1 40500 50 "vespertino" "logistica"
"151" 22 83 2 1 9 100.02 2 39275 52 "matutino" "produccion"
"152" 26 125 1 1 9 135.22 1 43850 58 "nocturno" "ventas"
"153" 8 169 1 5 4 87.79 2 31625 34 "vespertino" "finanzas"
"154" 16 55 2 4 3 103.14 1 39375 41 "vespertino" "finanzas"
"155" 25 217 2 2 7 112.55 2 47200 66 "vespertino" "logistica"
"156" 7 19 1 1 1 109.11 1 28150 33 "matutino" "finanzas"
"157" 23 173 2 0 3 87.58 0 46900 63 "vespertino" "logistica"
"158" 7 173 2 4 4 92.91 0 29100 28 "vespertino" "compras"
"159" 16 105 1 2 5 89.73 1 39400 41 "nocturno" "ventas"
"160" 2 11 1 1 8 108.57 1 23100 25 "vespertino" "ventas"
"161" 22 52 2 1 9 113.15 2 41650 46 "vespertino" "ventas"
"162" 13 103 2 0 5 104.36 1 35850 40 "matutino" "ventas"
"163" 19 143 2 1 4 111 1 37375 41 "vespertino" "ventas"
"164" 7 123 2 4 2 111 1 31575 34 "vespertino" "compras"
"165" 4 114 1 1 9 87.71 0 27350 28 "matutino" "finanzas"
"166" 24 37 1 5 4 99.12 1 47125 64 "vespertino" "finanzas"
"167" 11 100 2 2 7 128.72 1 43675 55 "matutino" "compras"
"168" 8 100 2 2 6 107.85 2 40000 41 "matutino" "produccion"
"169" 9 198 2 5 3 107.85 1 31570 44 "vespertino" "logistica"
"170" 22 198 1 1 9 122.66 0 41750 40 "vespertino" "produccion"
"171" 25 136 2 0 4 93.35 0 43780 52 "matutino" "logistica"
"172" 14 0 2 4 2 115.46 1 43650 38 "vespertino" "ventas"
"173" 18 17 2 3 8 125.59 1 39750 44 "vespertino" "produccion"
"174" 8 103 2 0 9 92.37 0 29500 30 "vespertino" "logistica"
"175" 22 15 1 1 3 99.17 1 41150 44 "vespertino" "compras"
"176" 8 107 2 0 3 102.84 1 33000 35 "vespertino" "produccion"
"177" 13 129 1 5 4 104.18 1 38300 38 "nocturno" "logistica"
"178" 27 167 2 0 8 107.75 1 46100 69 "vespertino" "logistica"
"179" 27 118 2 0 8 119.13 2 44000 66 "matutino" "finanzas"
"180" 3 209 2 5 3 92.42 0 23600 22 "vespertino" "compras"
"181" 2 125 2 4 4 101.16 1 24850 29 "matutino" "finanzas"
"182" 23 22 1 2 5 91.35 1 45000 62 "vespertino" "logistica"
"183" 9 151 1 1 5 96.82 0 43850 52 "nocturno" "compras"
"184" 15 11 2 4 2 96.82 0 40050 47 "vespertino" "ventas"
"185" 17 39 2 4 1 89.03 1 43800 58 "vespertino" "finanzas"
"186" 5 193 2 0 5 112.67 2 35300 35 "nocturno" "compras"
"187" 26 217 2 2 5 121.96 1 46550 68 "vespertino" "compras"
"188" 27 189 1 3 7 104.5 2 45800 69 "vespertino" "logistica"
"189" 12 209 2 2 3 117.48 1 31450 34 "vespertino" "ventas"
"190" 1 70 2 5 4 96.38 0 20000 20 "vespertino" "produccion"
"191" 3 52 2 1 6 107.32 1 27300 29 "matutino" "logistica"
"192" 0 138 2 0 4 121.36 1 20000 21 "matutino" "finanzas"
"193" 16 35 2 3 4 94.02 0 34850 47 "vespertino" "produccion"
"194" 3 9 1 1 3 129.13 1 41800 41 "matutino" "compras"
"195" 5 173 2 2 8 122.14 2 29000 29 "vespertino" "finanzas"
"196" 1 11 2 1 4 93.86 3 30200 30 "matutino" "compras"
"197" 7 129 2 3 6 104.59 1 34450 35 "vespertino" "finanzas"
"198" 2 162 1 3 3 107.85 1 23550 25 "vespertino" "logistica"
"199" 2 5 2 1 1 101.68 1 22000 26 "matutino" "finanzas"
"200" 5 74 2 3 6 111 1 33000 34 "nocturno" "logistica"
